"long","lat","bio1","bio12"
-68.3124999996675,-21.6041666669405,6.63450002670288,55
-67.6041666663285,-21.6041666669405,6.21199989318848,77
-68.0624999996655,-21.6041666669405,5.21999979019165,66
-68.3541666663345,-21.6041666669405,4.44549989700317,63
-66.5208333329865,-21.6041666669405,5.01433277130127,164
-66.7708333329885,-21.5625000002735,7.78999996185303,129
-68.0624999996655,-21.5625000002735,5.04899978637695,68
-66.7291666663215,-21.5625000002735,7.87066698074341,134
-68.0208333329985,-21.5208333336065,5.1638331413269,69
-68.3124999996675,-21.4791666669395,6.65616703033447,57
-68.2708333330005,-21.4791666669395,6.78583288192749,57
-68.3958333330015,-21.4791666669395,6.81949996948242,56
-66.6041666663205,-21.4375000002725,7.92833280563354,148
-67.8124999996635,-21.4375000002725,5.0633339881897,76
-68.4374999996685,-21.3958333336055,6.33500003814697,60
-67.3124999996595,-21.3958333336055,8.44133281707764,82
-67.5208333329945,-21.3541666669385,7.97450017929077,73
-68.0208333329985,-21.3541666669385,5.06083297729492,74
-68.3541666663345,-21.3541666669385,6.70733308792114,59
-68.3124999996675,-21.3125000002715,6.78350019454956,62
-68.2708333330005,-21.2708333336045,6.71833276748657,64
-67.2291666663255,-21.2291666669375,8.68000030517578,90
-68.6874999996705,-21.1875000002705,4.87616682052612,61
-68.6458333330035,-21.1875000002705,4.6646671295166,64
-68.2708333330005,-21.1875000002705,6.85249996185303,68
-68.0208333329985,-21.1458333336035,7.12816715240479,79
-68.9791666663395,-21.1041666669365,9.93616676330566,31
-68.4791666663355,-21.1041666669365,3.49699997901917,74
-68.5624999996695,-21.1041666669365,4.7888331413269,66
-68.6874999996705,-21.1041666669365,3.42199993133545,68
-67.1041666663245,-21.0625000002695,8.90516662597656,99
-68.4791666663355,-21.0625000002695,4.5625,69
-68.4791666663355,-21.0625000002695,4.5625,69
-68.8541666663385,-21.0208333336025,4.26933288574219,65
-68.5624999996695,-20.9791666669355,4.3348331451416,74
-67.0624999996575,-20.9791666669355,9.32450008392334,101
-68.7291666663375,-20.9791666669355,2.36533308029175,79
-68.5624999996695,-20.9791666669355,4.3348331451416,74
-68.7708333330045,-20.9375000002685,3.14883303642273,72
-68.7708333330045,-20.8958333336015,3.16199994087219,73
-68.6458333330035,-20.8958333336015,4.43249988555908,73
-68.8958333330055,-20.8958333336015,4.68200016021729,64
-68.6874999996705,-20.8958333336015,2.77500009536743,81
-67.6458333329955,-20.8541666669345,8.32866668701172,72
-68.6874999996705,-20.8125000002675,5.32733297348022,68
-69.0208333330065,-20.7708333336005,7.26033401489258,51
-68.9791666663395,-20.7708333336005,5.14416599273682,64
-68.6874999996705,-20.6875000002665,6.00950002670288,65
-67.2291666663255,-20.6458333335995,8.78666687011719,113
-66.9791666663235,-20.6041666669325,9.65783309936523,123
-68.7708333330045,-20.6041666669325,4.51083278656006,75
-68.7708333330045,-20.5625000002655,4.32266712188721,79
-67.7708333329965,-20.5625000002655,8.04783344268799,84
-68.8958333330055,-20.5208333335985,5.11533308029175,72
-68.8124999996715,-20.4791666669315,3.92000007629395,82
-66.9374999996565,-20.4791666669315,9.743332862854,143
-66.8124999996555,-20.4791666669315,9.75699996948242,131
-66.6041666663205,-20.4375000002645,9.5629997253418,152
-68.8958333330055,-20.3958333335975,4.83150005340576,80
-69.3541666663425,-20.3958333335975,15.9071702957153,11
-69.1041666663405,-20.3958333335975,8.29483318328857,53
-67.5624999996615,-20.3958333335975,7.63899993896484,161
-66.8958333329895,-20.3958333335975,9.38066673278809,124
-68.8541666663385,-20.3541666669305,5.30800008773804,79
-68.9791666663395,-20.3125000002635,3.68183302879333,89
-66.9791666663235,-20.3125000002635,9.15016746520996,133
-68.8124999996715,-20.3125000002635,5.60483407974243,77
-67.1874999996585,-20.2291666669295,8.28933334350586,117
-67.4791666663275,-20.2291666669295,7.74933290481567,166
-68.9791666663395,-20.2291666669295,3.22350001335144,98
-67.0624999996575,-20.1875000002625,9.17766666412354,136
-68.8124999996715,-20.1875000002625,5.38633298873901,88
